Artist,Title,Found on Spotify?,Spotify URI,Corrections
Pan American,Swimming In A Western Hotel,Yes,spotify:track:1ATXbroEubTRLUdwtFLgX9,
Zero Key,01,Yes,,
Ekin Fil,Being Held (Jefre Cantu-Ledesma Rework),Yes,spotify:track:1AaXpfIM8weJtiAQvmwq3J,
X.Y.R.,Wind Chimes Voices,Yes,spotify:track:6zi0vZI44zWvEmkL8VuAYY,
Earthen Sea,White Sky,Yes,spotify:track:2mdC0lyy0kVn5D1s7U0vGu,
Lifted,The Latecomer,Yes,spotify:track:7GbaPHGgx1FixNAAQdpa6W,
Keith Fullerton Whitman,021112-2,Yes,,
Windy & Carl,Forever & The Silent Ocean,Yes,spotify:track:7jjB4qTmda5gjMtkQvZnvl,
Samuel Reinhard,No. 1,Yes,spotify:track:3WopeiW7fKzRZmxDgBfh73,
Clinic Stars,Thoughtless,Yes,spotify:track:65ini79W6hCwhR6AfbPZLD,
Discount Heaven House Band,Elegy,Yes,,
Malibu,Nana (Like A Star Made For Me) ,Yes,spotify:track:6kMxzocRugxiovCq4GtmtY,
Disco Inferno,Waking Up,Yes,spotify:track:3MqhaUnFmuxmzIHIlmpoEg,
David Sylvian,Where The Railroad Meets The Sea,Yes,spotify:track:10MKn9r8PJXHkFNsiVdNaW,
Bourbonese Qualk,Outcry,Yes,spotify:track:2vQEjfb2h30ucQH52SLwfs,
Enno Velthuys,Germinating,Yes,,
Demen,Mea,Yes,spotify:track:2pQ4NQxVhFgGjEfkO3Rv0A,
Rothko,Herbivore,Yes,spotify:track:5MHgnlubRHO2TVxH3cYnjz,
"Pieter Nooten, Michael Brook",Equal Ways,Yes,spotify:track:7yy5R9Mjp2Y2f0fzRBz8ky,
Tim Story & HJ Roedelius,Clue,Yes,spotify:track:1GHPliCL4CMWUVt9FobGwz,
Saffron,Vision Is A Lonely Word,Yes,,
Windy & Carl,Green,Yes,,
Steve Hauschildt,Still Cloudy,Yes,spotify:track:4AHajQ628C2huNPZtk0KMZ,
Gene Clark,Pledge To You,Yes,,
"Romance, Dean Hurley",White Lace & Promises,Yes,spotify:track:1gDg84osa9WDLGxvh38pdP,
154,Daze,Yes,,
Carmen Villain,Multicolor,Yes,spotify:track:3CwA9dzt3HNLU7JX7sEzcm,
DJ Armok,Chrome Tone Tribute,Yes,spotify:track:0H6kzn1W4H8BVaKsaSo05C,
crimeboys,Haunted Tattoo,Yes,,
Spivak,Σχεδόν Σίγουρα,Yes,spotify:track:77IL0sLJ8oCzRcKOpAwIby,
MJ Guider,FM Secure,Yes,spotify:track:2TAjkYLG8QXR9fIaur2haa,
Debbie Deb,I'm Searching,Yes,spotify:track:69PhChfV4Xmy9LrC5YH84W,
Sensory Elements,Summer Groove,Yes,,
Redcell,Paradroid,Yes,,
A Flock Of Seagulls,(It's Not Me) Talking,Yes,,
First Tone,Ex Conceit II,Yes,spotify:track:2uqJf80AgcoECmqapCxcoY,
Thou,Narcissist's Prayer (Physical Pain Ending),Yes,,
Clinic Stars,I Am The Dancer ,Yes,spotify:track:0WjqLck2q5ZesyxfApXCwg,
White Poppy,Himmel,Yes,spotify:track:5qOX4qJJzYBw4YoqMK3uUw,
chantssss,Lia,Yes,spotify:track:3Fau145nAk3Xl16tMHQ15w,
Elori Sail,Drifts Ii,Yes,spotify:track:143Uu2ssw2p9to2BNXcdjV,
Seefeel,Sky Hooks,Yes,spotify:track:6KqOFPJTgkSXWmKkjstNWC,
Av Moves,Vowl80,Yes,,
C.L. Lobbestael,Vi,Yes,spotify:track:0QV2UYMmp8J3e6LrKI43Dw,
Gareth Mitchell,Cross Country,Yes,,
Loscil,Steady State,Yes,spotify:track:1lCBFiqX4QK2D6Pm05039z,
Loscil,P Motion,Yes,spotify:track:6gBnV4GaS7QruuiE8acmIj,
Casino Versus Japan,Licht,Yes,spotify:track:2ZdSsrddABOakcO4df87Br,
Ethernet,pages,Yes,,
UNKNOWN ME,A Rainbow in Meditative Air,Yes,spotify:track:2xFiGsfQ9tsxplZN4j21Yr,
"Giovanni Di Domenico, Pak Yan Lau, John Also Bennett",Melt,Yes,spotify:track:016CNyIBZn8gkXs4YoxeEm,
James Devane,27-32,Yes,spotify:track:5Xlh3KDZFSj791nPynokBv,
Etelin,Electrical Sailing,Yes,spotify:track:1etC4GHMrcEKaAbwC1o0XH,
Apollo Vermouth,Solvay,Yes,spotify:track:4oEeVOTRAcswcg79EosONn,
Breeze,Islands,Yes,,
Argo Nuff,Gas Station Weed,Yes,spotify:track:06YCbTsJO7aW0IfwlJRoQN,
Moon Diagrams,Metallics In Fur,Yes,spotify:track:1iQMlPU0yRWkERexdxwjzt,
Diiv,Soul-Net [Lawrence Chandler Remix],Yes,,
Belong,Am / Pm,Yes,spotify:track:1W7gD5BjBiaKOW7UfsJLMN,
The Conversationalist,Every Ending,Yes,spotify:track:2Rjsy2LyfxaZfJSJKrNobe,
Tomorrowland,Microbe,Yes,spotify:track:0R43aAdRVhB3XTgFTMFyjV,
Tomorrowland,Departure,Yes,spotify:track:14sekpsZ5ryVZoRrP77uM0,
The Conversationalist,Cycles,Yes,spotify:track:6LUNg6JVuaL5IQuDYOkifr,
Minor Hexachords,Radians,Yes,,
Allele Memetic,Adjust To The Light,Yes,,
Tomorrowland,Oxygen,Yes,spotify:track:06BDZlWPSr7VGnOC0NoV1g,
Allele Memetic,Haptic,Yes,,
Tomorrowland,Chromosome,Yes,spotify:track:607KoywEGRBD33LhzawewV,
Minor Hexachords,Peak Chroma,Yes,,
Minor Hexachords,Lull (Outro),Yes,,
Astrobrite,Streetlight,Yes,,
Windy & Carl,The Llama’s Dream,Yes,spotify:track:6cBvjvAZaHeMFEKu49hN40,
somesurprises,Dark Victory,Yes,spotify:track:2ojhusotY4lFzQwvgFiezu,
loscil,Kamouraska,Yes,spotify:track:0tLbeg9QxOQ2F8jZcH3pb1,
The Conversationalist,Mauna Loa,Yes,spotify:track:4FocOU3QdNLnqsP86e8x5j,
K. Frued,Shaking Off The Ice,Yes,,
Salenta + Topu,Rain Rendition,Yes,spotify:track:7batuqXirOgSVzA7pwEJCl,
Cancer House,a hiding place,Yes,spotify:track:1s8GWLbLn104wzxbul8WhG,
Stargaze Inferno,Stand For The Rush,Yes,,
"Jon Hassell, Gregg Arreguin, Jamie Muhoberac, Peter Freeman",Amsterdam Blue (Cortege),Yes,,
Adam Wiltzie,Stock Horror,Yes,spotify:track:3vEORMJAnvvc8E6855zmi5,
Cindy Lee,Dont Tell Me Im Wrong,Yes,,
"Bernstein, Ives, New York Philharmonic",The Unanswered Question,Yes,spotify:track:5czWcQqRmkOtZ2ZBcUsRRA,
TOTI GUDNASSON,DYRID,Yes,,
ALBERTO IGLESIAS,ADAGIATTO,Yes,,
Harold Budd,Domenico,Yes,spotify:track:7bURJKhGaSzuplo1ESfr71,
