Artist,Title,Found on Spotify?,Spotify URI,Corrections
Frank Reinecke/Helge Slaatto/Helge Slaatto/Frank Reinecke,"Plainsound Study No. 1, Op. 61a",Yes,,
Kali Malone,Untitled/Unreleased (Inland Reject Cue),Yes,,
Jievaras,Kā Palinkai Berželi,Yes,,
Olga Glazova,Ancient Gates,Yes,,
Belladonna E Musica Reservata (The Prisoner's Song,"Anon., Early 15th C. Plus Penser Que Dire",Yes,,
Kali Malone,Untitled/Unreleased (Inland Cue 14),Yes,,
The Women's Folklore Ensemble Of Staraya Terizmorga,"Vay, More (Oh, The Sea)",Yes,spotify:track:0QoYTesqj3ev4wfA6ryuTd,
Kūlgrinda,Nuslaide Saulala,Yes,,
🙏🌱🙏,🙏🌱🙏,Yes,,
David Lackner Ft. Lydia Lunch,Synthetic Love Dream,Yes,spotify:track:1bot0UqIZ0iIOrlpmHze0i,
"Vilhelm Bromander, Fredrik Rasten",Harmony For Two Or More Voices II,Yes,spotify:track:2sWQYkjqNHCUP4cN2BBQJG,
Alex Zhang Hungtai,Crimée II,Yes,spotify:track:3YjPbQHTg5ErW8gb53pYRr,
Arthur Russell,Tower Of Meaning,Yes,spotify:track:45ZPdNhQl7EboMRjT1eShv,
Yosuke Fujita,Osoi,Yes,,
Maria W Horn,Konvektion,Yes,spotify:track:5fOr0VJwhHuOFyh6FCZVyO,
Dewa Alit Galeman Salukat,Genetic,Yes,,
ስቀለው እያሉ Seqelew Eyalu,Sosena Gebra Eyesus,Yes,,
"Jessika Kenney, Eyvind Kang",Kidung,Yes,spotify:track:4xy9tOJiFu1SLNW9D5MIgH,
Tongue Depressor,Monocline,Yes,,
Kali Malone,Tuning A 32-Foot Pipe,Yes,,
🙏🌱🙏,🙏🌱🙏,Yes,,
"Jessika Kenney, Eyvind Kang",Towards Solitude,Yes,spotify:track:1nhA7E23NrimgPabNj6dOZ,
Eleh,Death Is Eternal Bliss,Yes,spotify:track:4qCluxswZpxQ8Im8LFmGCv,
Jessica Ekomane,I,Yes,,
Marcus Pal & Isak Edberg,Λ,Yes,,
Kakerlak,Among The Minutiae,Yes,,
Peter Söderberg,On The Carpet Of Leaves Illuminated By The Moon (For Oud And Pure Wave Oscillator),Yes,spotify:track:64XB5kCJHmLoWtORAPAwSV,
Michael Dierks & Violins,Tuning In Meantone,Yes,,
Leila Bordreuil,Incidence (Feat. Max Eilbacher),Yes,,
Maryanne Amacher,Petra (1991) For Two Pianos,Yes,,
Leopard In A Tree,Dry Shade,Yes,,
The Hilliard Ensemble,De Profundis Clamavi,Yes,spotify:track:0ly7Ww5R0xjgA25OerTqTk,
Karl Sjölund,Värmedöd,Yes,,
Robin Hayward,Stop Time,Yes,,
Kali Malone,Sacer Profanare,Yes,spotify:track:26Gg3poRNdvTdS9IpxyJqm,
