Artist,Title,Found on Spotify?,Spotify URI,Corrections
Dal3ona El Zaytoun (دلعونا الزيتون,Dalal Abu Amneh,Unknown,,
"Poem By Mahmoud Darwish , Read By A Dear Friend",Think Of Others,Unknown,,
Marcel Khalife,جواز سفر   Passport,Unknown,,
Violeta Parra,Gracias A La Vida,Unknown,,
Majida Roumi,Chayef El Bahr,Unknown,,
George Kormoz,My Name Is The Palestinian People,Unknown,,
Dir. Mai Masri,Excerpt From The Film Frontier Of Dreams And Fears,Unknown,,
Al Fajer Group,Filisteen,Unknown,,
TALE OF THE THREE JEWELS,MOVIE INTRO,Unknown,,
Issam Hajali,Ana Damir El Motakallim,Unknown,,
CHILDREN OF SHATILA DOCUMENTARY,EXCERPT,Unknown,,
Emahoy Tsegué-Maryam Guèbrou,HOMESICKNESS PT. 1,Unknown,,
MAY NASR,YOMMA MWEIL EL HAWA مي نصر-  يما مويل,Unknown,,
PFLP GHASSAN KANAFANI / RICHARD CARLETON INTERVIEW,EXCERPT,Unknown,,
MAYAN X PALESTINE SOLIDARITY,EXCERPT,Unknown,,
Ahmed Al Kelani,"Kuluhum Qaluu Ya Qadar, Field Recording Of A Wedding In Jenin In 1990s",Unknown,,
Hassan Shaikh,Ana Dammi Falasteeni,Unknown,,
Maryam Hassan,Arrabi Al Arabe,Unknown,,
Khaled,Serbi Serbi,Unknown,,
MOHAMMED EL KURD,A PEN IS LIKE A WEAPON EXCERPT,Unknown,,
Youth Of Yarmouk,STREET MUSIC,Unknown,,
FAIRUZ,EDDAYSH KAN FI NAS,Unknown,,
MOHAMMED EL KURD,A PEN IS LIKE A WEAPON POEM,Unknown,,
"Luiz Bonfá, Don Burrows, George Golla",Enchanted Sea,Unknown,,
MARCEL KHALIFE,ANA YOUSSEF YA ABI,Unknown,,
LEILA KHALED,QUOTE Read By Tasnim Boufelfel),Unknown,,
NAJAT AL SAGHIRA,ANA BASHAK EL BAHR نجاة الصغيرة,Unknown,,
SALVADOR ARNITA,IDENTITY,Unknown,,
MARWAN MAKHOUL,ON POLITICS AND POETRY (READ IN SPANISH BY JAZMIN GARCIA),Unknown,,
MAHMOUD ABDEL AZIZ,عدت سنة,Unknown,,
AL FAJER GROUP,عن الأمنيات,Unknown,,
JUNE JORDAN,CALLING ON ALL SILENT MINORITIES POEM,Unknown,,
Fathi Dayqz & Sons Of Africa,"Palestine Is My Homeland (Libya, 1993)",Unknown,,
RAUHI AL KHAMASH,Sama’i Hijaz Kar Kurd سماعي حجازكار كرد,Unknown,,
LARRY & JOE,HERMANO MIGRANTE LIVE AT NDLON RADIO JORNALERA,Unknown,,
Sonidero Maidana,SioNo,Unknown,,
DJ Alan De Beccar,Oasis De Agua Fresca,Unknown,,
Zulema Olivares Y Las Chicas 2,Chiquillo Orgulloso,Unknown,,
Super Grupo Colombia,Mi Cumbia Costeña ,Unknown,,
Cumbias Chingonas,Cumbia Huepaje,Unknown,,
DJ Pucho Mastermix,Cumbia Como Tu Piel,Unknown,,
Dulce Caramelo,Coquetona,Unknown,,
Grupo Sol Y Oasis,Corazón Enamorardo,Unknown,,
Festival Latino,Rocio Rocio 2023,Unknown,,
DJ Gonzalo Aftermix,Kumbia Carmelita Adios Dub,Unknown,,
DJ ATO 05,Rinconcito Azul Editado,Unknown,,
DJ LT FANTASMA,CUMBIA INDIA 2014,Unknown,,
GRUPO SUPER KIDS,El Regreso De La Cumbia Intocable,Unknown,,
DJ Charly Che,Los Toquesitos,Unknown,,
Chucho Ponce Los Daddys De Chinantla,Mi Razón De Ser,Unknown,,
CHINO LANDERO,HOY QUIERO CAMBIAR,Unknown,,
CHINO LANDERO,A TU MANERA REMIX,Unknown,,
Los Deakino,Casi Siempre Pienso En Ti,Unknown,,
Sonidero Maidana,Lucerito,Unknown,,
Xochitl Mejia,Cumbia de la Florecita,Unknown,,
Alberto Pedraza Con Su Ritmo Y Sabor,Rumbo Al Paraiso,Unknown,,
JIMMY Y SU COMBO NEGRO,LEÑA PARA EL CARBON,Unknown,,
Sabor Colombiano,Baila Mi Cumbia,Unknown,,
Alfredo Orlando Ortiz,Amarraditos,Unknown,,
Toña La Negra,Veracruz,Unknown,,
Javier Solís,Vereda Tropical,Unknown,,
Los Seven Teens,Nena Loca,Unknown,,
Los Reno,Con El Diablo En Mi Corazón,Unknown,,
Los DIamantes,"Mentira, Mentira",Unknown,,
La Frontera,Sigo Llorando,Unknown,,
Los Mustang,Mi Vida,Unknown,,
Chivirico,Asi,Unknown,,
Mike Laure,Cuando Vuelva A Tu Lado,Unknown,,
Polidecto Correa,Ave Maria,Unknown,,
Los Reyes Del Twist,Sólo Por Que DIces,Unknown,,
Los Moonlights,Vivo Y Muero Por Ti,Unknown,,
Memo Neyra,Flor Sin Retoño,Unknown,,
Los Apson,Y La Quiero,Unknown,,
Clara Boone,Demasiado Tarde (It's Too Late),Unknown,,
Grupo Old Memories,Siempre Contigo Quiero Estar,Unknown,,
Los Strwck,Pobre Reyna,Unknown,,
Los Angeles Negros,POPURRI DE BOLEROS,Unknown,,
Jorge Luis Cabrera,Se Acabaron Las Caricias,Unknown,,
Luiz Bonfá,Dia De Natal,Unknown,,
Ensamble Centenario,Elodia (Mazurka de Salón),Unknown,,
"Coleman Hawkins, Ben Webster",Rosita,Unknown,,
Trio Japones,마지막 입술 (Last Kiss),Unknown,,
Trio Siboney,Cuando Calienta El Sol,Unknown,,
Grupo Yndio,Melodía Desencadenada,Unknown,,
"Orquesta Aragon, Orquesta América, Enrique Jorrin Y Su Orquesta",La Basura ,Unknown,,
Frankie Y Los Matadores,Vivo Pensando,Unknown,,
Los Zafiros,Bossa Cubana,Unknown,,
Amara Touré,Lamento Cubano,Unknown,,
Nico Gomez & His Afro Percussion Inc.,El Condor Pasa,Unknown,,
Malo,No Te Dejaré,Unknown,,
Elia Y Elizabeth,Buscándonos,Unknown,,
Trio Japones,안개,Unknown,,
Vicente Fernández,De 7 a 9,Unknown,,
Marco Antonio Solís,Si No Te Hubieras Ido,Unknown,,
"فرقة الأرض, Ferkat Al Ard",Matar Al Sabah,Unknown,,
Nina Simone,Angel Of The Morning,Unknown,,
Najat Al Saghira,Bahlam Maak,Unknown,,
Jennifer Lara,Loving You,Unknown,,
Javier Solís,Cuando Calienta El Sol,Unknown,,
Abdel Halim Hafez,Ahwak,Unknown,,
Teresa Tang,月亮代表我的心,Unknown,,
Al Green,For The Good Times,Unknown,,
Los Hermanos Carrión,Lindos Ojos = Pretty Blue Eyes,Unknown,,
Faye Wong,你快樂所以我快樂,Unknown,,
Stevie Wonder,Come Back As A Flower,Unknown,,
Mahmoud Abdel Aziz,كلو منك,Unknown,,
احمد كوستي,مالو,Unknown,,
Alice Coltrane,Going Home,Unknown,,
Boutaïba S'ghir,Ma Nemchiche,Unknown,,
Blue Sueños,Tracklist,Unknown,,
The Delfonics,La-La-Means I Love You,Unknown,,
Héctor López Guzmán,TU CABEZA EN MI HOMBRO,Unknown,,
Billy Stewart,Sitting In The Park,Unknown,,
Olga Gillot,Que Sabes Tu,Unknown,,
Francisco Aguabella,Image Of A Star,Unknown,,
"Eydie Gorme, Trio Los Panchos",Sabor A Mi,Unknown,,
Los Yesterdays,Nobody's Clown ,Unknown,,
Malo,Suavecito,Unknown,,
Sunny & The Sunliners,"Smile Now, Cry Later",Unknown,,
Brownskinhazel,Rosa Y Javier Hernandez,Unknown,,
"""Amorcito Corazón""",Pedro Infante,Unknown,,
"Amalia Mendoza, Mariachi Vargas",Puñalada Trapera,Unknown,,
Antonio Aguilar,El Hijo Desobediente,Unknown,,
LA HIJA DE NADIE,YOLANDA DEL RÍO,Unknown,,
La Basurita,Beatriz Adriana,Unknown,,
Gloria Matancera,Con la Punta del Pie,Unknown,,
Los Corraleros De Majagual,La Medallita,Unknown,,
Andrés Landero,La Pava Congona,Unknown,,
Super Grupo Colombia,Pájaro Cinzontle,Unknown,,
"Grupo Ensamble, Arturo Carbajal, Olimpo Carbajal",Tus Jefes No Me Quieren,Unknown,,
Rosario Castellanos,Desamor,Unknown,,
Simon Diaz,Tonada De Luna Llena ,Unknown,,
Soledad Bravo,Alla Viene Un Corazon,Unknown,,
Trio Matamoros,Lagrimas Negras,Unknown,,
Chavela Vargas,No Volvere,Unknown,,
"Celia Cruz, Sonora De Memo Salamanca",Cuando Estoy Contigo,Unknown,,
"Tito Puente, La Lupe",Que Te Pedi,Unknown,,
Los Zafiros,He Venido,Unknown,,
Frank Domínguez,Tu Me Acostumbraste,Unknown,,
Bola De Nieve,Dejame Recordar,Unknown,,
Piero,Fumemos Un Cigarrillo,Unknown,,
Gal,Lágrimas Negras,Unknown,,
Angel Canales,Nostalgia,Unknown,,
Nicola Di Bari,El Corazón Es Un Gitano ,Unknown,,
"Facundo Cabral, Waldo De Los Rios Y Su Orquesta",No Soy De Aqui Ni Soy De Alla,Unknown,,
Luiz Bonfa,Leque,Unknown,,
King Nando And His Orchestra,El Solitario,Unknown,,
Locos Del Ritmo,Tus Ojos,Unknown,,
Sunny & The Sunliners,Vestida De Blanco,Unknown,,
Tommy Ramírez Y Sus Sonorritmicos,Pajarillo Herido,Unknown,,
La Sonora Matancera,"Lola, Lolita, Lola",Unknown,,
Acarina Y Su Danzonera,Caldo De Oso,Unknown,,
Orquesta Dan Den,Mi Cuerpo,Unknown,,
Sunny & The Sunliners,Bonita,Unknown,,
Stevie Wonder,He's Misstra Know-it-all,Unknown,,
Grupo Cariño,Bailando En Agua,Unknown,,
"Ensamble Centenario, Manuel Maria Ponce",Intermezzo,Unknown,,
Luiz Bonfa,Rain,Unknown,,
Raul Herrera Marquez,Vals Poético,Unknown,,
Luis Bonfa,Preludio,Unknown,,
King Nando,Nando’s Blue Moon,Unknown,,
Stevie Wonder,Un Lugar En El Sol (A Place In The Sun),Unknown,,
