Artist,Title,Found on Spotify?,Spotify URI,Corrections
Javier Solís,Espera,Yes,spotify:track:5eQVlgkbWPekVUMU9RGQWl,
"TOÑA, LA NEGRA",DESOLACIÓN,Yes,,
Martín Chacón,Xhuncu Huiini,Yes,,
"Tlen-Huicani, Lino Chavez",La Bruja,Yes,spotify:track:4hM0H2SupXsTkcQnSchNz5,
Trio Martino,Noches De Bocagrande,Yes,spotify:track:0WZWCHmVJMukNwDzttPvfb,
Harold Budd,Let Us Go Into The House Of The Lord / Butterfly Sunday,Yes,spotify:track:4z5mBEeCOoWqqbK8rOwDN1,
Symrin Chawla,Poem,Yes,,
Hamid Al Shaeri,Lahzet Lo’aa,Yes,spotify:track:2xT2Q4Ug95brRbFAI4W14D,
Al-Bara’em,Tha’er,Yes,spotify:track:5Qh4ZFhFUrlC98WnzbwPkY,
Cheb Mami,Let Me Cry,Yes,spotify:track:2dnGBx0b4Y4Un2NDHtolZE,
Los Terricolas,Llorarás,Yes,spotify:track:2avnbTB2bVyKI2nz553XuH,
Mohamed Mounir,دنيا رايحه,Yes,spotify:track:3cIjnxNnPMBUfnXMnrVlml,
Los Panchos,Miseria,Yes,spotify:track:2L8vCihduKhCAvsbg0bIfR,
"عبد الحليم حافظ, Abdel Halim Hafez",انا لك على طول = Ana Lak Ala Toul,Yes,spotify:track:2t7t9AnA3jh3Yuzn62Pywa,
Fairuz,Bisan,Yes,spotify:track:2tWCwbzWr0DNam0yaduYZa,
"Ennio Morricone, Gillo Pontecorvo",Tema Di Ali,Yes,spotify:track:29niAvs3Vy7mr6RyetJFxO,
Marouf Al-Ashqar,"Title Unknown, May He Rest In Peace.",Yes,,
Wael Al Dahdouh,On Loss And Tears (Excerpt From Speech He Gave After His Son Was Murdered By Israeli Forces),Yes,,
Emahoy Tsege Mariam Gebru,Clouds Moving Across The Sky,Yes,,
Alberto Iglesias,Soy Marco,Yes,spotify:track:1SXWE6UWkqTWJwwYoygupy,
Seta Hagopian,Mandal Dallouni,Yes,spotify:track:3FdcWxv3eYLypWPYWg803Z,
The Hour Of Liberation Has Arrived (Film),Intro,Yes,,
الطمبارة و الغناية,عقد الجلاد,Yes,,
Produced By The Edward Said National Conservatory Of Music,Sada (Echo),Yes,,
Al Fajer Group,3an Insan,Yes,spotify:track:06PzVK7mwVxvA44kzVw83J,
Ziad Rahbani,Finale من موسيقى نزل السرور,Yes,,
Chavela Vargas,Las Simples Cosas,Yes,spotify:track:5wuJRtS6ESLVRM9vdnxRL1,
Fairouz (فيروز,Sanarjou Yawman,Yes,,
Nina Simone,Ain't Got No; I Got Life,Yes,spotify:track:0p9kp28VdoiuIxgzkzhZLU,
Cheb Sino & Khalid Essayd,Malgré Tout (Boutaiba Sghir Cover),Yes,,
Kwame Ture & Stokely Carmichael,The Difference Between Peace And Freedom,Yes,,
"Riad Awwad, Hanan Awwad, Mahmoud Darwish",Intifada,Yes,spotify:track:2qNaFEHPXa45HXOruY02Vi,
... شرحبيل احمد,و تعرف الشوج,Yes,,
Victor Jara,El Derecho De Vivir En Paz,Yes,spotify:track:33nztJSpoZityjQp6rMT22,
Dal3ona El Zaytoun (دلعونا الزيتون,Dalal Abu Amneh,Yes,,
"Poem By Mahmoud Darwish , Read By A Dear Friend",Think Of Others,Yes,,
Marcel Khalife,جواز سفر   Passport,Yes,,
Violeta Parra,Gracias A La Vida,Yes,spotify:track:5U7MyRNbuZrWkyAI4bm3Ja,
Majida Roumi,Chayef El Bahr,Yes,,
George Kormoz,My Name Is The Palestinian People,Yes,,
Dir. Mai Masri,Excerpt From The Film Frontier Of Dreams And Fears,Yes,,
Al Fajer Group,Filisteen,Yes,spotify:track:1J0F8PcAcOdMYKkT1uQvXQ,
TALE OF THE THREE JEWELS,MOVIE INTRO,Yes,,
Issam Hajali,Ana Damir El Motakallim,Yes,spotify:track:7JNyr6lS7KF2m2we2HEfZI,
CHILDREN OF SHATILA DOCUMENTARY,EXCERPT,Yes,,
Emahoy Tsegué-Maryam Guèbrou,HOMESICKNESS PT. 1,Yes,,
MAY NASR,YOMMA MWEIL EL HAWA مي نصر-  يما مويل,Yes,,
PFLP GHASSAN KANAFANI / RICHARD CARLETON INTERVIEW,EXCERPT,Yes,,
MAYAN X PALESTINE SOLIDARITY,EXCERPT,Yes,,
Ahmed Al Kelani,"Kuluhum Qaluu Ya Qadar, Field Recording Of A Wedding In Jenin In 1990s",Yes,,
Hassan Shaikh,Ana Dammi Falasteeni,Yes,spotify:track:3ae9CPJdS6jFSSQc9NFE4i,
Maryam Hassan,Arrabi Al Arabe,Yes,spotify:track:4anx9dy5q5vU1B0kwNRmrR,
Khaled,Serbi Serbi,Yes,spotify:track:2tMrWIBV95BrPxyNiiHCMw,
MOHAMMED EL KURD,A PEN IS LIKE A WEAPON EXCERPT,Yes,,
Youth Of Yarmouk,STREET MUSIC,Yes,,
FAIRUZ,EDDAYSH KAN FI NAS,Yes,,
MOHAMMED EL KURD,A PEN IS LIKE A WEAPON POEM,Yes,,
"Luiz Bonfá, Don Burrows, George Golla",Enchanted Sea,Yes,spotify:track:0YeCnDjpyKStNk5PQPjRQN,
MARCEL KHALIFE,ANA YOUSSEF YA ABI,Yes,,
LEILA KHALED,QUOTE Read By Tasnim Boufelfel),Yes,,
NAJAT AL SAGHIRA,ANA BASHAK EL BAHR نجاة الصغيرة,Yes,,
SALVADOR ARNITA,IDENTITY,Yes,,
MARWAN MAKHOUL,ON POLITICS AND POETRY (READ IN SPANISH BY JAZMIN GARCIA),Yes,,
MAHMOUD ABDEL AZIZ,عدت سنة,Yes,,
AL FAJER GROUP,عن الأمنيات,Yes,,
JUNE JORDAN,CALLING ON ALL SILENT MINORITIES POEM,Yes,,
Fathi Dayqz & Sons Of Africa,"Palestine Is My Homeland (Libya, 1993)",Yes,,
RAUHI AL KHAMASH,Sama’i Hijaz Kar Kurd سماعي حجازكار كرد,Yes,,
LARRY & JOE,HERMANO MIGRANTE LIVE AT NDLON RADIO JORNALERA,Yes,,
Sonidero Maidana,SioNo,Yes,,
DJ Alan De Beccar,Oasis De Agua Fresca,Yes,,
Zulema Olivares Y Las Chicas 2,Chiquillo Orgulloso,Yes,,
Super Grupo Colombia,Mi Cumbia Costeña ,Yes,,
Cumbias Chingonas,Cumbia Huepaje,Yes,,
DJ Pucho Mastermix,Cumbia Como Tu Piel,Yes,,
Dulce Caramelo,Coquetona,Yes,spotify:track:2hAq9OGbcIa9kDxMRwKRbr,
Grupo Sol Y Oasis,Corazón Enamorardo,Yes,,
Festival Latino,Rocio Rocio 2023,Yes,,
DJ Gonzalo Aftermix,Kumbia Carmelita Adios Dub,Yes,,
DJ ATO 05,Rinconcito Azul Editado,Yes,,
DJ LT FANTASMA,CUMBIA INDIA 2014,Yes,,
GRUPO SUPER KIDS,El Regreso De La Cumbia Intocable,Yes,,
DJ Charly Che,Los Toquesitos,Yes,spotify:track:3sOrUKf25bfL4gO8AcyQ6C,
Chucho Ponce Los Daddys De Chinantla,Mi Razón De Ser,Yes,spotify:track:5UWmrt2dk71pz8xaMdB1fr,
CHINO LANDERO,HOY QUIERO CAMBIAR,Yes,,
CHINO LANDERO,A TU MANERA REMIX,Yes,,
Los Deakino,Casi Siempre Pienso En Ti,Yes,spotify:track:0OSwNPbRUJbEn8Bd441RAA,
Sonidero Maidana,Lucerito,Yes,,
Xochitl Mejia,Cumbia de la Florecita,Yes,,
Alberto Pedraza Con Su Ritmo Y Sabor,Rumbo Al Paraiso,Yes,spotify:track:4RxCBFDHnvaDZa4A4xiDEz,
JIMMY Y SU COMBO NEGRO,LEÑA PARA EL CARBON,Yes,,
Sabor Colombiano,Baila Mi Cumbia,Yes,spotify:track:6UPJH7TSg7JWtciwftC9Ih,
Alfredo Orlando Ortiz,Amarraditos,Yes,,
Toña La Negra,Veracruz,Yes,spotify:track:5lI6MgAE8NQSw0QfBBAyrH,
Javier Solís,Vereda Tropical,Yes,spotify:track:6RAQgyHLunddvB5WvRB9OR,
Los Seven Teens,Nena Loca,Yes,,
Los Reno,Con El Diablo En Mi Corazón,Yes,spotify:track:0oCYdsaaAvTfBZiyFgv5xg,
Los DIamantes,"Mentira, Mentira",Yes,spotify:track:6OEOjftjD2c40RBx9GAgXx,
La Frontera,Sigo Llorando,Yes,spotify:track:23lye1DYg8tC3niyXVtbUP,
Los Mustang,Mi Vida,Yes,spotify:track:0leK5SUlMzarIucNbPq2Tl,
Chivirico,Asi,Yes,spotify:track:3BZry0gSykaR9UwsipUAUX,
Mike Laure,Cuando Vuelva A Tu Lado,Yes,spotify:track:7KBPInlv2i4fjoLZ8vvLeG,
Polidecto Correa,Ave Maria,Yes,,
Los Reyes Del Twist,Sólo Por Que DIces,Yes,,
Los Moonlights,Vivo Y Muero Por Ti,Yes,spotify:track:6r7v8tw1Gt2pZdAJ1Jc7xX,
Memo Neyra,Flor Sin Retoño,Yes,spotify:track:16BXp67EOpbFLfc9UhQ43o,
Los Apson,Y La Quiero,Yes,spotify:track:3qgUOxcOSf5Lf6MfUCkThu,
Clara Boone,Demasiado Tarde (It's Too Late),Yes,,
Grupo Old Memories,Siempre Contigo Quiero Estar,Yes,,
Los Strwck,Pobre Reyna,Yes,spotify:track:3SgXIF6yUqZQt3bOvrXMIE,
Los Angeles Negros,POPURRI DE BOLEROS,Yes,,
Jorge Luis Cabrera,Se Acabaron Las Caricias,Yes,spotify:track:5WxTQFliheBsX1Se2KjhqA,
Luiz Bonfá,Dia De Natal,Yes,spotify:track:12TG2H4pGzXz8SY6ucbnEM,
Ensamble Centenario,Elodia (Mazurka de Salón),Yes,spotify:track:0dOEsoUixF18IK8SgP1G9C,
"Coleman Hawkins, Ben Webster",Rosita,Yes,spotify:track:3tzOXO0tEqbI4SCrSDhZ4J,
Trio Japones,마지막 입술 (Last Kiss),Yes,spotify:track:12p6qyiIKzOykXc3Ws2d7z,
Trio Siboney,Cuando Calienta El Sol,Yes,spotify:track:3u4usXelvkFudS3wsRgAN5,
Grupo Yndio,Melodía Desencadenada,Yes,spotify:track:3vZNtX1YJhjMkJtgh6GrMd,
"Orquesta Aragon, Orquesta América, Enrique Jorrin Y Su Orquesta",La Basura ,Yes,spotify:track:1z2RtZytJuKxuZQYWoSSHC,
