Artist,Title,Found on Spotify?,Spotify URI,Corrections
Sylvia Moore,Your Meaning Is Clear,Unknown,,
The Soap Bubbles,3 Mile Rain,Unknown,,
The Contents Are,In Trouble,Unknown,,
Complex,Am I,Unknown,,
World Of Oz,LIke A Tear ,Unknown,,
Moonkyte,Way Out Hermit,Unknown,,
S.T. Mikael,The Serpent,Unknown,,
Enrico Marcandalli,Isola Verde,Unknown,,
"Vincent Le Masne, Bertrand Porquet",Labyrinthe,Unknown,,
Dave Maddison,Largo For Whales,Unknown,,
"Gereon Piller, Gerhard Krause",Sphinx,Unknown,,
John Lawson,Requiem To Mississippi John Hurt,Unknown,,
Roberto Menabo,Salter’s Hotel,Unknown,,
Werner Prassl,Richland Woman Blues,Unknown,,
Al Cook,Georgia Blues,Unknown,,
Giovanni Unterberger,Fireman Joe'S Breathless Day,Unknown,,
Andy Bole,Blackwater / Silver Sea,Unknown,,
Maurizio Angeletti,The Pearl At The Bottom Of The Ocean,Unknown,,
Normal Teeling,Dimensions,Unknown,,
Giovanni Palombo,Pesco Fuor D’Acqua,Unknown,,
Echo Mountain Band,Cold Rain & Snow,Unknown,,
Rod King,South Seas '74,Unknown,,
I.C.F. Crew,Fresh Hip Hop,Unknown,,
Mud Hutters,Neolithic Dub,Unknown,,
Sue Downer & Arthur Hendrie,Images Of Summer,Unknown,,
Dave & Jan,Hands,Unknown,,
Shusha,No Expectations,Unknown,,
Dove,Lovely Day,Unknown,,
Best Of Friends,Fennario,Unknown,,
Tom Smith,Quidate Quierda,Unknown,,
Malcolm Smith,State Of Arkansas,Unknown,,
John Lewis Smith,Waiting Up ,Unknown,,
Alex Atterby,Ballad For Katherine Of Aragon,Unknown,,
Keith James,Is This The Way ?,Unknown,,
Jhavangelismo Relic,You Only Live Once 'N' That (Part III),Unknown,,
Sally Cowan,Yankee Lady,Unknown,,
Dove,Cos’ Our Love Affair Is Over,Unknown,,
Omnibus,If It Makes You Feel Better,Unknown,,
Shusha,The Chess Set,Unknown,,
Jon Betmead,You Ain't Goin' Nowhere,Unknown,,
Thunder & Roses,King Of The Black Sunrise,Unknown,,
The Jelly Bean Bandits,Another August Revisited,Unknown,,
The Silver Set,Sweet Belinda,Unknown,,
Teddy & The Terrifics,I’m Fucking Mad,Unknown,,
Stanley Frank,On A Line,Unknown,,
These Are My Uncles,Hey Hey,Unknown,,
Fiddler’s Dram,Black Hole,Unknown,,
Harmonious Blacksmith,Highland Fairy Lullaby,Unknown,,
"Eumir Deodato, Best Of Friends",Daybreak,Unknown,,
Guy Cabay,Pôve Tièsse,Unknown,,
Ronnie Dukes & Ricky Lee,Something’s Burning,Unknown,,
Ova,Rainbowwoman,Unknown,,
Steve Shorrock,Nick’s Blues,Unknown,,
The Contents Are,Brother Abbott,Unknown,,
Dolphin,And Then I Kissed Her,Unknown,,
Dragonsfire,Irish Blessing,Unknown,,
Timber,All But Gone,Unknown,,
野坂恵子,London Bridge,Unknown,,
Plum Duff,Carrickfergus,Unknown,,
Keith Wilson & Jon Turner,Hyacinth Garden,Unknown,,
David Hemmings,Good King James,Unknown,,
The Contents Are,No Chance To Choose,Unknown,,
Alex Atterson,Kishmul’s Galley,Unknown,,
Interweave,The Quest,Unknown,,
Emil Mangelsdorff Quartet,Asian-Inspiration,Unknown,,
Steven Michael Pague,Watch The Ocean Roll,Unknown,,
Rhonda Clark,Sugar,Unknown,,
Logic,Pied Piper,Unknown,,
Outback,Baka,Unknown,,
Guru Deepak,Sahara Girl,Unknown,,
Nivram,I'll Wait,Unknown,,
Giovanni Unterberger,Grow On,Unknown,,
Diwan Motihar,White Theme,Unknown,,
The Amazing Snail Brothers,Silence In The City,Unknown,,
Andy Caven,Our Lady,Unknown,,
Gene Pitney,Train Of Thought,Unknown,,
Christy,Deep Down,Unknown,,
Ennio Morricone,Deep Down (main Title English),Unknown,,
Ennio Morricone,Deep Down (Parade 5052),Unknown,,
Martin Junior School,What Have They Done To The Rain?,Unknown,,
Freshmen,"All My Trials, Child Song",Unknown,,
Jan Kennedy,She Is There,Unknown,,
Archie Fisher,Reynardine,Unknown,,
Bumble,When The Forest Cloak Has Fallen,Unknown,,
Sunforest,Untitled Organ Track (Acetate),Unknown,,
Sunforest,Walk In The Sun (Acetate),Unknown,,
Paul Masse,Motels And Stations,Unknown,,
Alexis Keaney,Muddy Water’s Rolling Stone,Unknown,,
Guy Cabay,La Sabate D’Sinte Mere L’oto,Unknown,,
Unknown Artist,Up In The Sky,Unknown,,
Elecampane,Enter Old Nick,Unknown,,
Alexis Keaney,"Se, Reposer",Unknown,,
Father Tom Belt,God Unlimited,Unknown,,
Jim & Shirley,Horse With No Name,Unknown,,
Terry Durham,White Room Dreaming,Unknown,,
Jason David,Wherever You Are,Unknown,,
Van Greaves,Mad About You,Unknown,,
