Artist,Title,Found on Spotify?,Spotify URI,Corrections
Addison Rae,Aquamarine,Yes,spotify:track:3TPKsQTu9jZyzQJiax5rLA,
Central Rush,Out Of Focus (Original Mix),Yes,,
"Solid Stone, Jennifer Rene",Not Enough,Yes,,
Accadia,Blind Visions (Accadia Club Mix),Yes,spotify:track:7xqStxg5G1y8Yz8KRqVMrc,
Stevie Be Zet,Blue Illusion (Flat Horizon Mix),Yes,,
Mfm,Untitled,Yes,,
DJ Semitone,I'm The Wind,Yes,,
Dark0,Untitled (Ballad Edit),Yes,,
Iva Peralta,Ismara,Yes,,
Myon & Shane Ft. Lab Works,Ibiza Island (Liberta Edit),Yes,,
Solid Sleep,Heartbeat (Aquaflex Remix) X FSS Ate2 Loop,Yes,,
ATB,Ecstasy (Rxflxct Rework),Yes,,
Evian Christ,Nobody Else,Yes,spotify:track:5PSS18MKJpSNeFVQi6rzJL,
Unknown Artist,Allthefireworksatonce,Yes,,
Guiseppe Ottaviani,8K (Eusexia Edit),Yes,,
York,Dying Star (Chill Out Mix),Yes,spotify:track:1jgO0igsrj8o4VBNRSq3mB,
Niko Demus,Untitled,Yes,,
Unknown Artist,Unknown Track,Yes,spotify:track:47FlbrwMWmaaC87mkVbwcZ,
Pools,Another Chance (Pools Edit),Yes,,
"Kerri Chandler And Jerome Sydenham, Dennis Quin",You're In My System (Instrumental Club Mix),Yes,,
"Tim Berg, Avicii",Bromance (Avicii Arena Mix),Yes,spotify:track:7cEsSFhEZNh6zQVzwpRMW5,
"Breeder, Shem McAuley, Simon Rogers, Slacker",Tyrantanic (Slacker's Kingdom Come Mix),Yes,spotify:track:63rAUIKBbZNrf1RIjPYCAR,
Alphaville,Forever Young,Yes,spotify:track:4S1VYqwfkLit9mKVY3MXoo,
Reuben Halsey & Miranda Dickinson,The Meaning Of Life,Yes,,
Cocteau Twins,The Ghost Has No Home,Yes,spotify:track:0rtfF7pfVYD5nvBQ1mPRsD,
ESP,Break Free,Yes,spotify:track:7KIRJCAKHhzT4HC3uYXVui,
Trance Wax,So Alone,Yes,spotify:track:1S8PNl7u3ezQj74TEts3o0,
Katana,Silence (Antic Remix),Yes,,
Yves Deruyter,Feel Free,Yes,,
Unknown Artist,Unknown Track,Yes,spotify:track:47FlbrwMWmaaC87mkVbwcZ,
Oklou,Endless,Yes,spotify:track:0WxgcCdTvtOrAqfSDzBcDB,
Two Heavens,White Orca,Yes,spotify:track:4QdPbcFjztR1XH02x72jqX,
Merely,Neutron,Yes,spotify:track:0gqXXg3r7Ek6rqUHHZ6Knz,
"CFCF, Team Rockit",Suburbilude (Team Rockit Remix),Yes,spotify:track:3nvAebpJrmRIu3NhJ1182s,
Markus Guentner,Altocomulus Opacus,Yes,spotify:track:62auul4pwRe5tbMDlCPeAW,
Chicane Feat. Bo Bruce,Still With Me (Original Drift Mix),Yes,,
Inter Alia,Saints,Yes,,
"In Orbit, Alda Vain",Diminishing Returns,Yes,spotify:track:46vtaBeox6vSl8bX6u8SnO,
Spice Girls,Viva Forever,Yes,spotify:track:6BPDPcnbDMDf58srVzbfX9,
"Merely, Malibu",E22,Yes,spotify:track:6UcOVKA5o2tu4vSKanHtaz,
Måuriziö,Outerlude,Yes,,
Spooky,Little Bullet (Manse’s Breakneck Reconstruction Mix),Yes,,
Malibu,Unknown Track,Yes,,
Basic Channel,Mutism,Yes,spotify:track:3moYb5sN4MtjX7J4KkM7Dr,
"Merely, Malibu",Love Hard,Yes,spotify:track:2TqQyT5MMb63vblHgGT8jI,
Oklou,Choke Enough,Yes,spotify:track:3KVRU1oh4M4VtMRCNWBDVC,
E-Craig,1st Time (Dub Mix),Yes,,
"Sonorous, Ronski Speed",Protonic (Ronski Speed Mix),Yes,,
