Artist,Title,Found on Spotify?,Spotify URI,Corrections
Pearls Before Swine,Ring Thing,Yes,spotify:track:5pEQPw6MatJ0AP2Bdhqed7,
Pearls Before Swine,Sail Away,Yes,spotify:track:1oygWioYsgPkDiqB80oN2D,
Pearls Before Swine,Wizard Of Is,Yes,spotify:track:4SSp8N73w3UexOUjTtbRZV,
Pearls Before Swine,I Shall Be Released,Yes,spotify:track:64jX8lxpNJGJZVlVAoHb8T,
Pearls Before Swine,Playmate,Yes,spotify:track:3evkXQevw950wt11CQxYAK,
Pearls Before Swine,Look Into Her Eyes,Yes,spotify:track:2sbsDUhuvdgalddDqhtXfQ,
Tom Rapp,Marshall,Yes,,
Armand,Rue De La Paix,Yes,spotify:track:1WnAZO4jGXRaZT1NAc5l54,
"Tom Rapp, Pearls Before Swine",Come To Me,Yes,spotify:track:7Kk9ntNkqs1UAKYJekzUVV,
"Tom Rapp, Pearls Before Swine",Snow Queen,Yes,spotify:track:2BQJQ2uHm4UKxkMewUji2V,
Psychic TV,Translucent Carriages,Yes,spotify:track:6m4EOxn0YL45nk6BfKfBF6,
This Mortal Coil,The Jeweller,Yes,,
Pearls Before Swine,Going To The City,Yes,spotify:track:7jTkJaI7gfvbMSUbMgxmzM,
Pearls Before Swine,There's No Other (Like My Baby),Yes,spotify:track:65OzkYI6N6rQGWPNgEKip6,
Louis Sclavis,Mariage,Yes,spotify:track:5sfTLG8oGOM996DEbiW7qu,
Concert Dans L’œuf,Ben Sab’a,Yes,,
"The Judge's Nephews, Los Sobrinos Del Juez",Glorioso San Antonio,Yes,spotify:track:42QBGM4VnHAGIEUU9N2s6v,
"Four Singers, The Night Fevers, Akira Miyazawa",Historia De Un Amor,Yes,,
The Raspberries,Hands On You,Yes,,
Gandalf,Smokey Topaz (Demo),Yes,spotify:track:7rpcZ7soNj84IdnMzpLSau,
Chris Simpson,Magnolia,Yes,,
Warren James & Friends,Gymnopedies No. 2,Yes,,
Derek Brimstone,Icarus,Yes,,
Sylvia Moore,Your Meaning Is Clear,Yes,,
The Soap Bubbles,3 Mile Rain,Yes,,
The Contents Are,In Trouble,Yes,,
Complex,Am I,Yes,spotify:track:5sqNhric9lhZVuRO9zTx87,
World Of Oz,LIke A Tear ,Yes,spotify:track:2a9xIM6buzu8IdO0JUDmPM,
Moonkyte,Way Out Hermit,Yes,spotify:track:3OYYxoliJ2AxKWVPxFYTpx,
S.T. Mikael,The Serpent,Yes,spotify:track:1af9Whmm5RLnSaKdxOhddG,
Enrico Marcandalli,Isola Verde,Yes,,
"Vincent Le Masne, Bertrand Porquet",Labyrinthe,Yes,,
Dave Maddison,Largo For Whales,Yes,,
"Gereon Piller, Gerhard Krause",Sphinx,Yes,,
John Lawson,Requiem To Mississippi John Hurt,Yes,,
Roberto Menabo,Salter’s Hotel,Yes,,
Werner Prassl,Richland Woman Blues,Yes,,
Al Cook,Georgia Blues,Yes,spotify:track:1vTpnQLdlpnvc2pz5Zeh0t,
Giovanni Unterberger,Fireman Joe'S Breathless Day,Yes,,
Andy Bole,Blackwater / Silver Sea,Yes,,
Maurizio Angeletti,The Pearl At The Bottom Of The Ocean,Yes,,
Normal Teeling,Dimensions,Yes,,
Giovanni Palombo,Pesco Fuor D’Acqua,Yes,,
Echo Mountain Band,Cold Rain & Snow,Yes,,
Rod King,South Seas '74,Yes,,
I.C.F. Crew,Fresh Hip Hop,Yes,,
Mud Hutters,Neolithic Dub,Yes,spotify:track:4eahFB4ja8gqKWvBLWFp8v,
Sue Downer & Arthur Hendrie,Images Of Summer,Yes,,
Dave & Jan,Hands,Yes,,
Shusha,No Expectations,Yes,,
Dove,Lovely Day,Yes,,
Best Of Friends,Fennario,Yes,,
Tom Smith,Quidate Quierda,Yes,spotify:track:4jh1gEVpgZxaGYFrdaZ4nD,
Malcolm Smith,State Of Arkansas,Yes,,
John Lewis Smith,Waiting Up ,Yes,,
Alex Atterby,Ballad For Katherine Of Aragon,Yes,,
Keith James,Is This The Way ?,Yes,spotify:track:4loyCMbrmySxifPR0g8qCd,
Jhavangelismo Relic,You Only Live Once 'N' That (Part III),Yes,,
Sally Cowan,Yankee Lady,Yes,,
Dove,Cos’ Our Love Affair Is Over,Yes,,
Omnibus,If It Makes You Feel Better,Yes,,
Shusha,The Chess Set,Yes,,
Jon Betmead,You Ain't Goin' Nowhere,Yes,,
Thunder & Roses,King Of The Black Sunrise,Yes,spotify:track:2MhzJrH5mPlwRr9zXKloOD,
The Jelly Bean Bandits,Another August Revisited,Yes,spotify:track:626XRGdha4Ufj3gj3epoon,
The Silver Set,Sweet Belinda,Yes,,
Teddy & The Terrifics,I’m Fucking Mad,Yes,,
Stanley Frank,On A Line,Yes,spotify:track:38kusgaf1lv0j0oY1QRcSe,
These Are My Uncles,Hey Hey,Yes,,
Fiddler’s Dram,Black Hole,Yes,,
Harmonious Blacksmith,Highland Fairy Lullaby,Yes,,
"Eumir Deodato, Best Of Friends",Daybreak,Yes,,
Guy Cabay,Pôve Tièsse,Yes,spotify:track:2QEmVCZNfQMHf9DIQcxeEZ,
Ronnie Dukes & Ricky Lee,Something’s Burning,Yes,,
Ova,Rainbowwoman,Yes,,
Steve Shorrock,Nick’s Blues,Yes,,
The Contents Are,Brother Abbott,Yes,,
Dolphin,And Then I Kissed Her,Yes,,
Dragonsfire,Irish Blessing,Yes,,
Timber,All But Gone,Yes,,
野坂恵子,London Bridge,Yes,,
Plum Duff,Carrickfergus,Yes,,
Keith Wilson & Jon Turner,Hyacinth Garden,Yes,,
David Hemmings,Good King James,Yes,,
The Contents Are,No Chance To Choose,Yes,spotify:track:6tJphDwj20biMi4n4qKSFr,
Alex Atterson,Kishmul’s Galley,Yes,spotify:track:0rUNxeDkxmcXgXOUeUs5L0,
Interweave,The Quest,Yes,,
Emil Mangelsdorff Quartet,Asian-Inspiration,Yes,,
Steven Michael Pague,Watch The Ocean Roll,Yes,,
Rhonda Clark,Sugar,Yes,spotify:track:65L5p1LQqWRBhYBJWrx9lj,
Logic,Pied Piper,Yes,,
Outback,Baka,Yes,spotify:track:4uqwNgBpjOixt2Sz6lVqZv,
Guru Deepak,Sahara Girl,Yes,,
Nivram,I'll Wait,Yes,,
Giovanni Unterberger,Grow On,Yes,,
Diwan Motihar,White Theme,Yes,,
The Amazing Snail Brothers,Silence In The City,Yes,,
Andy Caven,Our Lady,Yes,,
Gene Pitney,Train Of Thought,Yes,,
Christy,Deep Down,Yes,,
Ennio Morricone,Deep Down (main Title English),Yes,,
Ennio Morricone,Deep Down (Parade 5052),Yes,,
Martin Junior School,What Have They Done To The Rain?,Yes,,
Freshmen,"All My Trials, Child Song",Yes,,
Jan Kennedy,She Is There,Yes,,
Archie Fisher,Reynardine,Yes,spotify:track:3b6B08gnJU2ObQ3KUPIgxY,
Bumble,When The Forest Cloak Has Fallen,Yes,,
Sunforest,Untitled Organ Track (Acetate),Yes,,
Sunforest,Walk In The Sun (Acetate),Yes,,
Paul Masse,Motels And Stations,Yes,,
Alexis Keaney,Muddy Water’s Rolling Stone,Yes,,
Guy Cabay,La Sabate D’Sinte Mere L’oto,Yes,spotify:track:52RIRZCg60zr8f4gcdIALi,
Unknown Artist,Up In The Sky,Yes,,
Elecampane,Enter Old Nick,Yes,,
Alexis Keaney,"Se, Reposer",Yes,,
Father Tom Belt,God Unlimited,Yes,,
Jim & Shirley,Horse With No Name,Yes,,
Terry Durham,White Room Dreaming,Yes,spotify:track:5ok9BBF8tFLqT9S0fhxtyU,
Jason David,Wherever You Are,Yes,,
Van Greaves,Mad About You,Yes,,
Connexion,Nobody Does It Better,Yes,,
"Nightair, Keith Herd, Danny Wood",Without You,Yes,,
Middlesex Hospital Christmas Show 1978,Up On The Roof,Yes,,
Connexion,Mouvements Perpétuels,Yes,,
The Incredible Cherry Tree Band,Walker’s Dance,Yes,,
Pohjantahti,Emmä Tiärä,Yes,,
Alessio Alba,Harem,Yes,,
David Mattson,Holly Lake,Yes,,
Talisman,Fire & Rain,Yes,,
Rushton Hall School For The Blind,We’ve Only Just Begun,Yes,,
Frederic Loy,Cincinatti Flow Rag,Yes,,
Tony Ansata,Spoonfull,Yes,,
Wild Oats,Tom Thumb Blues,Yes,,
Hand,Dying Ground,Yes,spotify:track:4cjJelrgxWerb4eGEALMzJ,
Alexis Keaney,"Pisces, My Sign",Yes,,
"Bob Brown, Sandy Fisher, Ron Johnson",Icarus,Yes,spotify:track:20ejCHtu9qvCCHUBRq9s3T,
Archimedes Badkar,Svit: Pharaoh-El Legend-Marrakech,Yes,,
Toti Soler,Ovidi,Yes,spotify:track:1BVaYjlbKoav81xsLOYQJi,
Ross Emery,The Jogger,Yes,,
Aubrey Small,For My Lady,Yes,,
Heron,Baby Goodnight,Yes,,
Nirvana,Habemus De Loca,Yes,spotify:track:4LVmoIC3MaEsCIVvFGxZo5,
Nirvana,The Touchables (All Of Us),Yes,spotify:track:6WnI4dnpakOF8KkjIwsTuO,
Jordi Sabatés,Erik Satie,Yes,,
Clive Oxford,For Your Future Entertainment,Yes,,
Eiderjazz,Behin Gehiago = Una Vez Más,Yes,,
Friedrich Gulda,Im Wald,Yes,spotify:track:4w0eVGtFwz1fj6nNA4eMdL,
Jordi Sabatés,El Señor Dels Anells,Yes,,
Christine Schaller,Fidji,Yes,spotify:track:4OWB5OsuZ4YqkdpATwb3gs,
Nazaré Pereira,Baia Veia Baia,Yes,spotify:track:5Hg4GyWQSUFaomRBx7ATf6,
Janni Littlepage,Lady In Waiting,Yes,,
Ia - Batiste,Chichonera's Cat,Yes,spotify:track:533M94RT3BdhO5Vk6OVYET,
Guy Cabay,Il Pleut De L'Eau D'Or,Yes,,
Nightwatch,Devil In The Belfry,Yes,spotify:track:62qeNF3fAtR5j2DjP3fs0v,
"Mal Waldron, Gary Peacock",She Walks In Beauty,Yes,,
Dipak Shah,Nottanum Town,Yes,,
Bob Stewart,Traveller’s Song,Yes,,
The Taverners Of Brighton,Babes In The Wood,Yes,,
Swan Arcade,Down In The Valley To Pray,Yes,,
Keith Pearson’s Right Hand Band,Anchored In Love Divine,Yes,,
